"caution","[ˈkɔːʃn]#;#n,idiom_n,v","sự thận trọng, sự cẩn thận",""
"anticipate","[ænˈtɪsɪpeɪt]#;#v","thấy trước, biết trước, đoán trước; dè trước, chặn trước, liệu trước, lường trước","Đoán trước, dự kiến"
"convince","[kənˈvɪns]#;#v","làm cho tin, làm cho nghe theo, thuyết phục","Thuyết phục = persuade"
"proposal","[prəˈpəʊzl]#;#n","sự đề nghị, sự đề xuất",""
"stun","[stʌn]#;#n,v","(từ Mỹ,nghĩa Mỹ) sự choáng váng; tình trạng bất tỉnh",""
"lecturer","[ˈlektʃərə(r)] [ˈlektʃərər]#;#n","giảng viên đại học",""
"lecture","[ˈlektʃə(r)] [ˈlektʃər]#;#n,v,v1","( lecture on something ) bài nói chuyện về một đề tài nào đó (thường) là một phần trong ...",""
"unfold","[ʌnˈfəʊld]#;#v,v1","đâm (chồi); nảy (mầm)","mở ra, trải ra
to unfold a newpaper

bày tỏ, để lộ, bộc lộ
to unfold one's intention"
"procedural","[prəˈsiːdʒərəl]#;#adj","theo thủ tục; (thuộc) thủ tục",""
"toward","[təˈwɔːdz] [tɔːrdz]#;#p,adj","theo hướng, về phía, hướng về",""
"regardless of","","không chú ý đến (ai/cái gì); không quan tâm","Bất kể, bất luận"
"precaution","[prɪˈkɔːʃn]#;#n","sự phòng ngừa; sự đề phòng; sự lo trước",""
"enthusiasm","[ɪnˈθjuːziæzəm] [ɪnˈθuːziæzəm]#;#n","sự hăng hái, sự nhiệt tình",""
"enthuse","[ɪnˈθjuːz] [ɪnˈθuːz]#;#v","tán tụng, tán dương",""
"structural","[ˈstrʌktʃərəl]#;#adj","(thuộc) cấu trúc; khung của một cấu trúc",""
"in case","#;#phrase","trong trường hợp",""
"predict","[prɪˈdɪkt]#;#v","báo trước, nói trước, tiên đoán, dự đoán, dự báo",""
"exterior","[ɪkˈstɪəriə(r)] [ɪkˈstɪriər]#;#adj,n","ở bên ngoài; đến từ bên ngoài",""
"hung on","","treo trên",""
"reservation","[ˌrezəˈveɪʃn] [ˌrezərˈveɪʃn]#;#n","(từ Mỹ,nghĩa Mỹ) vùng đất dành riêng cho bộ lạc người Anh điêng ở Mỹ","(từ Mỹ,nghĩa Mỹ) sự dành trước, sự giữ trước, sự đặt chỗ trước (vé tàu..)"
"interior","[ɪnˈtɪəriə(r)] [ɪnˈtɪriər]#;#n,adj","nội địa; đất liền nằm sâu vào trong (một nước...)",""
"scheme","[skiːm]#;#n,idiom_n,v","( scheme for something ) ( scheme to do something ) kế hoạch",""
"badge","[bædʒ]#;#n","vật đeo (thông (thường) là một hoạ tiết trên vải hoặc làm bằng kim loại) để cho biết ng ...",""
"delegate","[ˈdelɪɡət]#;#v,n","uỷ quyền, uỷ thác, giao phó",""
"rehearsal","[rɪˈhɜːsl] [rɪˈhɜːrsl]#;#n","sự diễn tập (vở kịch, bài múa...)",""
"rehear","[ˌriːˈhɪə(r)] [ˌriːˈhɪr]#;#v","nghe trình bày lại (vụ án...)",""
"occasional","[əˈkeɪʒənl]#;#adj","thỉnh thoảng; không thường xuyên, phụ động",""
"occasion","[əˈkeɪʒn]#;#n,idiom_n,v","dịp; thời điểm một sự kiện xảy ra",""
"substantially","[səbˈstænʃəli]#;#adv","về thực chất, về căn bản","1 cách đáng kể"
"substantial","[səbˈstænʃl]#;#adj","đáng kể; lớn lao; quan trọng",""
"vaguely","[ˈveɪɡli]#;#adv","ang áng, hơi, gần đúng, một cách phỏng chừng",""
"intention","[ɪnˈtenʃn]#;#n,idiom_n","ý định, mục đích",""
"remit","[ˈriːmɪt]#;#v,v1,n","gửi, chuyển (hàng hoá, tiền... nhất là bằng đường bưu điện)","remit a payment
gửi, chuyển (hàng hoá, tiền... nhất là bằng đường bưu điện)


miễn thi hành, khỏi phải chịu (thuế, hình phạt...); xoá bỏ (một món nợ..)
the taxes have been remitted
thuế đó đã được xoá bỏ"
"interpreter","[ɪnˈtɜːprətə(r)] [ɪnˈtɜːrprətər]#;#n","người phiên dịch","người phiên dịch"
"go through","","đi qua","Giống nghĩa suffer, undergo nhưng chung chung hơn"
"accent","[ˈæksent]#;#n,v","giọng",""
"southern","[ˈsʌðən] [ˈsʌðərn]#;#adj","(thuộc) phương nam; ở phương nam, của phương nam",""
"rail","[reɪl]#;#n,idiom_n,n1,v","đường sắt như là phương tiện giao thông",""
"herbal","[ˈhɜːbl] [ˈhɜːrbl]#;#adj,n","(thuộc) cỏ, (thuộc) thảo mộc",""
"suffer","[ˈsʌfə(r)] [ˈsʌfər]#;#v,idiom_v,v1","trải qua hoặc chịu (cái gì khó chịu)","= under go"
"journalist","[ˈdʒɜːnəlɪst] [ˈdʒɜːrnəlɪst]#;#n","nhà báo, ký giả",""
"deteriorate","[dɪˈtɪəriəreɪt] [dɪˈtɪriəreɪt]#;#v,v1","làm hư hỏng",""
"energetic","[ˌenəˈdʒetɪk] [ˌenərˈdʒetɪk]#;#adj","mạnh mẽ, mãnh liệt, đầy nghị lực",""
"underway","[ˌʌndəˈweɪ] [ˌʌndərˈweɪ]#;#adj","đang thực hiện",""
"fund","[fʌnd]#;#n,v","món tiền gửi lại hoặc hoặc dành cho một mục đích riêng biệt quỹ",""
"furniture","[ˈfɜːnɪtʃə(r)] [ˈfɜːrnɪtʃər]#;#n,idiom_n","đồ đạc (trong nhà)",""
"construction","[kənˈstrʌkʃn]#;#n","sự xây dựng",""
"construct","[kənˈstrʌkt]#;#v","làm xây dựng (nhà cửa...)",""
"valet","[ˈvæleɪ]#;#n,v,v1","đầy tớ, người hầu (một người đàn ông làm công việc phục vụ, giặt quần áo, dọn bữa ăn..)",""
"instruct","[ɪnˈstrʌkt]#;#v","chỉ dẫn, chỉ thị cho",""
"instructor","[ɪnˈstrʌktə(r)] [ɪnˈstrʌktər]#;#n","huấn luyện viên; người dạy",""
"responsibility","[rɪˌspɒnsəˈbɪləti] [rɪˌspɑːnsəˈbɪləti]#;#n","( responsibility for somebody  / something ) trách nhiệm; sự chịu trách nhiệm",""
"judge","[dʒʌdʒ]#;#n,v,v1","quan toà, thẩm phán",""
"present","[ˈpreznt]#;#adj,idiom_adj,n,v","có mặt, hiện diện; có (có mặt tại một nơi, trong một chất..)","at present
hiện tại, bây giờ, lúc này


đưa ra, bày ra, lộ ra, giơ ra, phô ra
bày tỏ, trình bày, biểu thị, ngỏ lời"
"diagnosis","[ˌdaɪəɡˈnəʊsɪs]#;#n","(y học) phép chẩn đoán; sự chẩn đoán; lời chẩn đoán",""
"undergo","[ˌʌndəˈɡəʊ] [ˌʌndərˈɡəʊ]#;#v","chịu đựng, trải qua (khó khăn, đau đớn)",""
"rectify","[ˈrektɪfaɪ]#;#v","sửa, sửa cho thẳng","Sửa, khắc phục"
"complacent","[kəmˈpleɪsnt]#;#adj","tự mãn; thoả mãn với chính mình hoặc với công việc của mình",""
"aggress",".#;#v","(từ hiếm,nghĩa hiếm) gây sự, gây hấn",""
"aggressive","[əˈɡresɪv]#;#adj","hung hăng; hay gây hấn; hùng hổ",""
"combative","[ˈkɒmbətɪv] [kəmˈbætɪv]#;#adj","hiếu chiến, thích đánh nhau; thích gây gỗ",""
"ambitious","[æmˈbɪʃəs]#;#adj","( ambitious for something ) ( ambitious to be  / do something ) có nhiều tham vọng (về  ...",""
"breakage","[ˈbreɪkɪdʒ]#;#n","(ngành dệt) sự đứt sợi",""
"eventual","[ɪˈventʃuəl]#;#adj","kết quả cuối cùng là; sau rốt",""
"occur to","#;#phrv","cụm động từ ★ enter one's mind 
nhập vào tâm trí của một người","Dẫn đến"
"result in",".#;#v","gây ra",""
"durability","[ˌdjʊərəˈbɪləti] [ˌdʊrəˈbɪləti]#;#n","tính bền, tính lâu bền",""
"restrict","[rɪˈstrɪkt]#;#v","hạn chế, giới hạn",""
"seek","[siːk]#;#v,idiom_v","đi tìm, tìm kiếm",""
"advertisement","[ədˈvɜːtɪsmənt] [ˌædvərˈtaɪzmənt]#;#n,idiom_n","sự thông báo; sự quảng cáo",""
"go on","","đi tiếp, tiếp tục, làm tiếpgo on!: cứ làm tiếp đi!to go on with ones work: tiếp tục làm công việc c",""
"bring down","","lật đổ, hạ bệ",""
"figure out",".#;#v","đoán ra, giải ra",""
"give up",".#;#v","bỏ, từ bỏ, thôi; tạm dừng; đầu hàng",""
"industry","[ˈɪndəstri]#;#n,idiom_n","công nghiệp, kỹ nghệ",""
"venue","[ˈvenjuː]#;#n","(pháp lý) nơi xử án (quận, khu vực)","Địa điểm"
"reserved","[rɪˈzɜːvd] [rɪˈzɜːrvd]#;#adj","dành riêng; đã dành trước",""
"cooperate","[kəuˈopəreit]#;#v","cộng tác",""
"on air",".#;#adj","đang lên sóng, dang phát sóng",""
"beneficial","[ˌbenɪˈfɪʃl]#;#adj","có lợi; có ích; tốt",""
"official","[əˈfɪʃl]#;#adj,n","chính thức","viên chức, công chức N
chính thức ADJ
"
"as well as","#;#phrase","cũng như",""
"roughly","[ˈrʌfli]#;#adv","đại thể, đại khái, phỏng chừng, xấp xỉ; phác, nháp","đại thể, đại khái, phỏng chừng, xấp xỉ; phác, nháp"
"voter","[ˈvəʊtə(r)] [ˈvəʊtər]#;#n","cử tri, người bỏ phiếu, người có quyền bầu cử (nhất là trong một cuộc tuyển cử (chính t ...",""
"contest","[ˈkɒntest] [ˈkɑːntest]#;#n,v","(thể dục,thể thao) cuộc thi; trận đấu, trận giao tranh",""
"participate","[pɑːˈtɪsɪpeɪt] [pɑːrˈtɪsɪpeɪt]#;#v","( to participate in something ) tham gia hoặc bị lôi cuốn vào (một hoạt động)",""
"charity","[ˈtʃærəti]#;#n,idiom_n","lòng nhân đức; lòng từ thiện",""
"literacy","[ˈlɪtərəsi]#;#n","sự biết viết, sự biết đọc",""
"keynote","[ˈkiːnəʊt]#;#n","(âm nhạc) âm chủ đạo","( định ngữ) chủ đạo, then chốt, chủ chốt, chính"
"cautious","[ˈkɔːʃəs]#;#adj","( cautious about  / of somebody  / something ) thận trọng, cẩn thận",""
"advisor","[ədˈvaɪzə(r)] [ədˈvaɪzər]#;#n","người khuyên bảo, người chỉ bảo, cố vấn",""
"commence","[kəˈmens]#;#v","bắt đầu, mở đầu, khởi đầu",""
"statement","[ˈsteɪtmənt]#;#n","lời tuyên bố; sự tuyên bố; bản tuyên bố",""
"shortly","[ˈʃɔːtli] [ˈʃɔːrtli]#;#adv","trong thời gian ngắn; không lâu; sớm",""
"barely","[ˈbeəli] [ˈberli]#;#adv","chỉ vừa đủ; vừa vặn","Hầu như không
"
"furnishing","[ˈfɜːnɪʃɪŋ] [ˈfɜːrnɪʃɪŋ]#;#n","sự cung cấp, sự trang bị đồ đạc",""
"hold on","#;#phrv","cụm động từ ★ wait 
Chờ đợi",""
"donor","[ˈdəʊnə(r)] [ˈdəʊnər]#;#n","người cho, người tặng, người biếu; người quyên cúng",""
"reception","[rɪˈsepʃn]#;#n","sự nhận, sự thu nhận, sự lĩnh","sự nhận, sự thu nhận, sự lĩnh
sự đón tiếp"
"accounting","[əˈkaʊntɪŋ]#;#n","sự thanh toán, sự tính toán (tiền nong, sổ sách)",""
"former","[ˈfɔːmə(r)] [ˈfɔːrmər]#;#adj,pro,n","trước, cũ, xưa, nguyên",""
"several","[ˈsevrəl]#;#pro,adj","vài",""
"investigation","[ɪnˌvestɪˈɡeɪʃn]#;#n","sự điều tra hoặc bị điều tra",""
"announce","[əˈnaʊns]#;#v","làm cho mọi người biết điều gì; báo; loan báo",""
"attract","[əˈtrækt]#;#v","thu hút, hấp dẫn, lôi cuốn",""
"disease","[dɪˈziːz]#;#n","(trường hợp) bệnh của cơ thể, tinh thần hoặc cây cối (do lây nhiễm hoặc rối loạn bên tr ...",""
"chain","[tʃeɪn]#;#n,v","dãy, chuỗi, loạt",""
"grocery","[ˈɡrəʊsəri]#;#n","cửa hàng tạp phẩm, cửa hàng tạp hoá",""
"goods","[ɡʊdz]#;#n,idiom_n","hàng hoá; tài sản đem bán",""
"properly","[ˈprɒpəli] [ˈprɑːpərli]#;#adv","một cách đúng đắn; một cách thích đáng; hợp thức",""
"dispose","[dɪˈspəʊz]#;#v","( to dispose of somebody  / something ) vứt bỏ, tống khứ; đánh bại","sắp đặt, sắp xếp, bố trí
( to dispose of somebody  / something ) vứt bỏ, tống khứ; đánh bại"
"appliance","[əˈplaɪəns]#;#n","thiết bị; dụng cụ",""
"gallery","[ˈɡæləri]#;#n,idiom_n,v","gian phòng hoặc toà nhà trưng bày các tác phẩm nghệ thuật",""
"passenger","[ˈpæsɪndʒə(r)] [ˈpæsɪndʒər]#;#n","hành khách (đi tàu xe...)",""
"propose","[prəˈpəʊz]#;#v,idiom_v","đề nghị, đề xuất, đưa ra",""
"roadway","[ˈrəʊdweɪ]#;#n","lòng đường; phần đường dành cho xe cộ sử dụng (khác với vỉa hè hoặc phần đường đi bộ)",""
"accommodate","[əˈkɒmədeɪt] [əˈkɑːmədeɪt]#;#v","cung cấp phòng hoặc nơi ở cho ai","Đáp ứng cho 
Điều chỉnh N để (phù hợp)
"
"widen","[ˈwaɪdn]#;#v,v1","làm cho rộng ra, nới rộng ra, mở rộng",""
"wide","[waɪd]#;#adj,adv,n,idiom_n","rộng, rộng lớn",""
"plumber","[ˈplʌmə(r)] [ˈplʌmər]#;#n","thợ hàn chì, thợ ống nước",""
"severe","[sɪˈvɪə(r)] [sɪˈvɪr]#;#adj","khắt khe, gay gắt (trong thái độ, cách cư xử)","rất xấu, rất mãnh liệt, rất gay go, khốc liệt, dữ dội"
"affix","[əˈfɪks]#;#n,v","(ngôn ngữ học) phụ tố",""
"solar","[ˈsəʊlə(r)] [ˈsəʊlər]#;#adj","(thuộc) mặt trời, có liên quan đến mặt trời, quan hệ đến mặt trời; tính theo mặt trời ( ...",""
"sustainable","[səˈsteɪnəbl]#;#adj","có thể chống đỡ được","Bền vững
"
"sustain","[səˈsteɪn]#;#v","chịu đựng, bị, chịu (đánh bại, bị thương, mất mát)",""
"attempt","[əˈtempt]#;#n,v","( attempt on something ) nỗ lực nhằm hoàn thiện hơn hoặc chấm dứt cái gì; sự tấn công","( attempt to do something  / at doing something ) sự cố gắng, sự thử"
"steadily","[ˈstedəli]#;#adv","đều đặn, đều đều",""
"decline","[dɪˈklaɪn]#;#v,n,v1","từ chối, khước từ, không nhận, không chịu",""
"as long as","","miễn là",""
"essential","[ɪˈsenʃl]#;#adj,n","cần thiết, thiết yếu, cốt yếu, chủ yếu",""
"optimal","[ˈɒptɪməl] [ˈɑːptɪməl]#;#adj","tốt nhất, tối ưu",""
"audience","[ˈɔːdiəns]#;#n","nhóm người tụ hội lại với nhau để nghe hoặc xem ai/cái gì; khán giả; thính giả; cử toạ",""
"outsell","[ˌaʊtˈsel]#;#v","bán chạy hơn; bán được nhiều hơn",""
"competitor","[kəmˈpetɪtə(r)] [kəmˈpetɪtər]#;#n","người cạnh tranh; đấu thủ, đối thủ",""
"competition","[ˌkɒmpəˈtɪʃn] [ˌkɑːmpəˈtɪʃn]#;#n","( competition between  / with somebody for something ) sự đua tranh giữa nhiều người; s ...",""
"lower","[ˈləʊ.ər] [ˈloʊ.ɚ]#;#adj,v,idiom_v,v1","thấp hơn, ở dưới, bậc thấp","Có thể là động từ hoặc tính từ so sánh hơn
"
"strategy","[ˈstrætədʒi]#;#n","chiến lược; (nghệ thuật) vạch kế hoạch và chỉ huy một cuộc hành quân trong chiến tranh  ...",""
"commute","[kəˈmjuːt]#;#v","đi lại thường xuyên bằng xe búyt, xe lửa hoặc ô tô giữa nơi làm việc và nhà ở","đi lại thường xuyên bằng xe búyt, xe lửa hoặc ô tô giữa nơi làm việc và nhà ở"
"extremely","[ɪkˈstriːmli]#;#adv","vô cùng, cực độ, cực kỳ",""
"extreme","[ɪkˈstriːm]#;#adj,n,idiom_n","cực đoan; (về người và ý kiến của họ) quá khích",""
"partial","[ˈpɑːʃl] [ˈpɑːrʃl]#;#adj","về từng phần hoặc tạo thành bộ phận; không hoàn chỉnh; một phần","1 phần
"
"expressive","[ɪkˈspresɪv]#;#adj","diễn cảm",""
"now that","","Bởi vì",""
"addition","[əˈdɪʃn]#;#n,idiom_n","( addition to something ) người hoặc vật thêm vào",""
"additional","[əˈdɪʃənl]#;#adj","cộng thêm; thêm vào",""
"peak","[piːk]#;#v,n,v1,idiom_v1","(từ Mỹ,nghĩa Mỹ) làm cho đạt tới đỉnh cao nhất","tột đỉnh, cao điểm; tối đa, nhộn nhịp, mãnh liệt nhất"
"merchandise","[ˈmɜːtʃəndaɪs] [ˈmɜːrtʃəndaɪs]#;#n,v","hàng hoá mua và bán; hàng hoá",""
"openly","[ˈəʊpənli]#;#adv","công khai",""
"rarely","[ˈreəli] [ˈrerli]#;#adv","hiếm khi; ít khi",""
"related","[rɪˈleɪtɪd]#;#adj","có liên quan, có quan hệ với ai/ cái gì",""
"relevant","[ˈreləvənt]#;#adj","thích đáng; có liên quan","= related
"
"relative","[ˈrelətɪv]#;#adj,n","( relative to something ) cân xứng với, cân đối với, tương đối",""
"accompany","[əˈkʌmpəni]#;#v","đi cùng với ai như là một người bạn đường hoặc người giúp đỡ, người hộ tống","đi cùng với ai như là một người bạn đường hoặc người giúp đỡ, người hộ tống

Accompany by"
"figure","[ˈfɪɡə(r)] [ˈfɪɡjər]#;#n,idiom_n,v,idiom_v","con số","Số liệu
"
"treatment","[ˈtriːtmənt]#;#n","(y học) sự điều trị; phép trị bệnh",""
"clinic","[ˈklɪnɪk]#;#n","phòng khám chữa bệnh (nhất là dành cho bệnh nhân ngoại trú)",""
"advertise","[ˈædvətaɪz] [ˈædvərtaɪz]#;#v","quảng cáo; công khai ca ngợi cái gì để mọi người mua và sử dụng nó",""
"contractor","[kənˈtræktə(r)] [ˈkɑːntræktər]#;#n","thầu khoán, người đấu thầu, người thầu (cung cấp lương thực cho quân đội, bệnh viện, tr ...",""
"improve","[ɪmˈpruːv]#;#v,idiom_v,v1","cải tiến, cải thiện, cải tạo, trau dồi (tư tưởng), mở mang (kiến thức...)",""
"put off","#;#phrv","cụm động từ ★ postpone 
hoãn",""
"morale","[məˈrɑːl] [məˈræl]#;#n","(quân sự) tinh thần; chí khí; nhuệ khí",""
"coach","[kəʊtʃ]#;#v,other,v,other,n,other","huấn luyện",""
"expense","[ɪkˈspens]#;#n,idiom_n","sự tiêu; phí tổn",""
"recipe","[ˈresəpi]#;#n","công thức làm món ăn","( recipe for something ) phương pháp thực hiện cái gì; cách làm"
"fate","[feɪt]#;#n,idiom_n","thiên mệnh, định mệnh, số mệnh, số phận",""
